codigo_material,preco_real,qtde_min,descricao,modelos,origem,t,ipi,ncm_classif_fiscal,codigo_barras
4901-502-2300,26.25,5,Bico universal,se50 se90 SE33,1,0,6.5,85087000,795711059514
4901-502-2400,56.9,1,Bico do tubo inclinado,SE33,1,0,6.5,85087000,795711059538
4901-502-2600,67.27,1,Bico da escova,SE33,1,0,6.5,85087000,795711059569
4901-502-2900,55.66,1,Bico Escova Ø 36 mm,SE33,1,0,6.5,85087000,795711059606
4910-500-0500,289.0,1,Mangueira de aspiração 3 m,RE88 RE98 RE90 RE95 RE109 RE110 RE143 RE150 RE330 RE232,1,0,6.5,40093210,886661861996
4910-500-0801,219.01,1,Mangueira de alta pressão DN06 7 m,RE80X RE80 RE90.0 RE90Plus RE90 RE95 RE110,1,10,3.25,39173900,886661952267
4910-500-0802,409.0,1,Mangueira de alta pressão DN06 9 m,RE80X RE80 RE90.0 RE90Plus RE90 RE95 RE110 RE143 RE150,1,0,6.5,40092210,886661952274
4910-500-0803,865.51,1,Mangueira de alta pressão DN06 20 m,RE90 RE110,1,0,6.5,40092290,886661952281
4910-500-0901,232.44,1,"Extensão da lança reto 0,43 m",RE80X RE80 RE90.0 RE90Plus RE90 RE95 RE110 RE143 RE150,1,10,3.25,84249090,886661715169
4910-500-1800,353.28,1,Dispositivo de jateamento com líquido,RE80X RE80 RE90.0 RE90Plus RE90 RE95 RE110 RE143 RE145 RE1,1,10,3.25,84249090,886661861989
4910-500-1900,368.1,1,"Lança de jatear angular 1,08 m",RE80X RE80 RE90.0 RE90Plus RE90 RE95 RE110 RE143 RE150,1,10,3.25,84249090,886661861965
4910-500-3901,349.0,1,Lavadora superficial RA 110,RE80X RE80 RE90.0 RE90Plus RE90 RE95 RE110 RE143 RE150,1,10,3.25,84249090,886661861958
4910-500-3902,289.01,1,Lavadora superficial RA 90,RE80X RE80 RE90.0 RE90Plus RE90 RE95 RE110 RE143 RE150,1,10,3.25,84249090,886661645213
4910-500-3903,349.0,1,Lavadora superficial RA 110,,1,10,3.25,84249090,886661728961
4910-500-5900,319.05,1,Escova rotativa,RE80X RE80 RE90.0 RE90Plus RE90 RE95 RE110 RE143 RE150,1,10,3.25,84249090,886661861934
4910-500-5911,319.05,1,Escova rotativa,INTRO.: JAN 2025,1,10,3.25,84249090,886661728985
4910-500-6000,182.84,1,Escova de limpeza,RE80X RE80 RE90.0 RE90Plus RE90 RE95 RE110 RE143 RE150,1,0,0.0,96035000,886661861903
4910-500-6100,201.84,1,Kit de limpeza de veículos,RE90 RE95 RE110,1,10,3.25,84249090,886661861927
4910-500-6101,229.01,1,Kit de limpeza de veículos,RE80X RE80 RE90.0 RE90Plus RE90 RE95 RE110 RE143 RE150,1,10,3.25,84249090,886661566334
4910-500-8000,278.99,1,Jogo de limpeza de tubos 15 m,RE88 RE90 RE95 RE98 RE109 RE110 RE143 RE150,6,10,3.25,84249090,886661862009
4910-500-8600,375.2,1,Mangueira plana com carretel fixo,RE80X RE80 RE90.0 RE90Plus RE90 RE95 RE110 RE143 RE150 RE2,1,10,3.25,84249090,886661952298
4910-500-9600,197.1,1,Bico de espuma,RE90 RE110,6,10,3.25,84249090,886661863921
4910-500-9601,197.1,1,Bico de espuma,RE143 RE150,6,10,3.25,84249090,886661408993
4910-550-3400,561.28,1,Escova rotativa,RE80X RE150,1,0,0.0,96035000,795711514419
4910-550-3500,1219.0,1,Lança telescópica,RE80X RE150,1,10,3.25,84249090,795711514426
4915-500-0929,99.0,1,Lança de jatear,RE107,1,10,3.25,84249090,795711378356
4915-500-1600,227.76,1,Bico turbo,RE800K REKM,5,10,3.25,84249090,795711628604
4915-500-5603,117.09,1,Conjunto de pulverização,RE107 RE108,1,10,3.25,84249090,795711378363
4915-500-5605,75.9,1,Cj. bico/reserv.detergente,RE800K REKM,5,10,3.25,84249090,795711353926
4915-500-5698,113.36,1,Conjunto de pulverização,RE88 RE98,1,10,3.25,84249090,795711916503
4915-500-6702,160.55,1,Conexão,RE107 RE108 RE142,1,10,0.0,39174090,795711354022
4915-501-1000,33.5,1,"Protetor de mangueira 5,5 m D1/2"" PE",Todas as lavadoras,5,10,0.0,39269090,795711640774
4915-501-1001,51.45,1,"Protetor de mangueira 7,5 m D1/2"" PE",Todas as lavadoras,5,10,0.0,39269090,795711354046
