codigo_material,preco_real,qtde_min,descricao,modelos,origem,t,ipi,ncm_classif_fiscal,codigo_barras
0463-902-0549,16.02,1,Meia bebê verde nº 14 ao 17,,0,0,0.0,61159500,886661495399
0463-902-0550,16.07,1,Meia curta nº 34 ao 39,,0,0,0.0,61159500,886661495405
0463-902-0551,16.07,1,Meia listras laranja e cinza nr.39 ao 42,,0,0,0.0,61159500,886661495429
0463-902-0552,14.7,1,Meia mini motosserra nº 26 ao 29,,0,0,0.0,61159500,886661495443
0463-902-0553,14.7,1,Meia mini motosserra nº 39 ao 42,,0,0,0.0,61159500,886661495450
0463-902-0554,131.25,1,Blusão azul - Masc. P,,0,0,0.0,62012000,886661495849
0463-902-0555,131.25,1,Blusão azul  - Masc. M,,0,0,0.0,62012000,886661495856
0463-902-0556,131.25,1,Blusão azul - Masc. G,,0,0,0.0,62012000,886661495870
0463-902-0557,131.25,1,Blusão azul - Masc. GG,,0,0,0.0,62012000,886661495887
0463-902-0558,131.25,1,Blusão azul - Masc. XXG,,0,0,0.0,62012000,886661495894
0463-902-0559,180.6,1,Blusão cinza gola alta - Masc. P,,0,0,0.0,62012000,886661495900
0463-902-0560,180.6,1,Blusão cinza gola alta - Masc. M,,0,0,0.0,62012000,886661495924
0463-902-0561,180.6,1,Blusão cinza gola alta - Masc. G,,0,0,0.0,62012000,886661495931
0463-902-0562,180.6,1,Blusão cinza gola alta - Masc. GG,,0,0,0.0,62012000,886661495948
0463-902-0563,180.6,1,Blusão cinza gola alta - Masc. XXG,,0,0,0.0,62012000,886661495955
0463-902-0564,126.0,1,Blusão azul cotoveleiras - Fem. P,,0,0,0.0,61021000,886661495979
0463-902-0565,126.0,1,Blusão azul cotoveleiras - Fem. M,,0,0,0.0,61021000,886661495986
0463-902-0566,126.0,1,Blusão azul cotoveleiras - Fem. G,,0,0,0.0,61021000,886661495993
0463-902-0567,126.0,1,Blusão azul cotoveleiras - Fem. GG,,0,0,0.0,61021000,886661496006
0463-902-0568,126.0,1,Blusão azul cotoveleiras - Fem. XXG,,0,0,0.0,61021000,886661496020
0463-902-0569,42.0,1,Touca preta adulto,,0,0,0.0,65050029,886661496037
0463-902-0570,47.25,1,Touca Kids,,0,0,0.0,65050029,886661496044
0463-902-0571,183.75,1,Bolsa térmica adulto,,0,0,0.0,42022210,886661496051
0463-902-0572,244.23,1,Mochila Wild Kids,,0,10,0.0,42021220,886661496075
0463-902-0573,101.85,1,Lancheira Wild Kids,,0,0,0.0,42029200,886661496082
0463-902-0574,46.79,1,Touca STIHL Adulto,,0,0,0.0,65050029,886661496099
0463-902-0575,100.33,1,Copo de vidro chopp 680ml,,0,10,0.0,70131000,886661496105
0463-902-0576,87.15,1,Caderno Versátil,,0,10,0.0,48202000,886661496129
0463-902-0577,20.16,1,Refil pautado - Caderno Versátil,,0,10,0.0,48202000,886661496136
0463-902-0578,19.74,1,Refil liso - Caderno Versátil,,0,10,0.0,48202000,886661496143
0463-902-0579,73.4,1,Toalha de praia,,0,0,0.0,63026000,886661496150
0463-902-0580,342.79,1,Relógio de pulso - feminino,,0,0,0.0,91021110,886661496174
0463-902-0581,386.81,1,Relógio de pulso - masculino,,0,0,0.0,91021110,886661496181
0463-902-0582,199.5,1,Camisa Flanela Xadrez masc - P,,0,0,0.0,62052000,886661496204
0463-902-0583,199.5,1,Camisa Flanela Xadrez masc - M,,0,0,0.0,62052000,886661496228
0463-902-0584,199.5,1,Camisa Flanela Xadrez masc - G,,0,0,0.0,62052000,886661496235
0463-902-0586,199.5,1,Camisa Flanela Xadrez masc - XG,,0,0,0.0,62052000,886661496259
0463-902-0587,173.25,1,Camisa Flanela Xadrez fem - P,,0,0,0.0,62063000,886661496273
0463-902-0588,173.25,1,Camisa Flanela Xadrez fem - M,,0,0,0.0,62063000,886661496280
0463-902-0591,168.0,1,Camisa Flanela Xadrez fem - XG,,0,0,0.0,62063000,886661496327
0463-902-0592,36.75,10,Boné Wild Kids - Infantil,,0,0,0.0,65050011,886661496334
0463-902-0593,36.75,10,Boné Marrom e Tela - Retrô,,0,0,0.0,65050019,886661496341
0463-902-0594,36.75,10,Boné Bordô,,0,0,0.0,65050019,886661496358
0463-902-0595,36.75,10,Boné Preto Urbano,,0,0,0.0,65050011,886661496372
0463-902-0596,36.75,10,Boné azul marinho,,0,0,0.0,65050011,886661496389
0463-902-0659,130.97,1,Camisete oxfordine manga longa G,ITEM PROMOCIONAL,0,0,0.0,62063000,795711462659
0463-902-0660,130.97,1,Camisete oxfordine manga longa GG,ITEM PROMOCIONAL,0,0,0.0,62063000,795711462666
0463-902-0661,122.51,1,Camisete oxfordine manga curta P,ITEM PROMOCIONAL,0,0,0.0,62063000,795711462673
0463-902-0662,122.51,1,Camisete oxfordine manga curta M,ITEM PROMOCIONAL,0,0,0.0,62063000,795711462680
0463-902-0663,122.51,1,Camisete oxfordine manga curta G,ITEM PROMOCIONAL,0,0,0.0,62063000,795711462697
0463-902-0709,158.52,1,Jaqueta Sarja P,,0,0,0.0,62013000,795711458911
0463-902-0847,34.65,1,Caneca inox com tampa 410ml,,0,0,0.0,73239300,795711828240
0463-902-0850,17.85,1,Porta lata em neoprene,,0,0,0.0,59069100,795711828271
0463-902-0854,31.24,1,Canivete 11 funções,Desativado para vendas,5,0,0.0,82119320,795711829728
0463-902-0857,220.49,1,Canivete Classic Victor Inox 7 funções,,2,0,7.8,82119320,795711835019
0463-902-0863,104.34,1,Calça feminina-Jeans nr.48,,0,0,0.0,62046900,795711837921
0463-902-0912,36.75,10,Boné bege com proteção,,0,0,0.0,65050011,795711851828
0463-902-0913,36.75,10,Boné laranja com proteção,,0,0,0.0,65050011,795711851835
0463-902-0928,135.17,1,Camisa branca manga longa GG,,0,0,0.0,62052000,795711859817
0463-902-0929,189.0,1,Camisa branca manga curta  P,,0,0,0.0,62052000,795711859824
0463-902-0930,189.0,1,Camisa branca manga curta M,,0,0,0.0,62052000,795711859831
0463-902-0931,189.0,1,Camisa branca manga curta G,,0,0,0.0,62052000,795711859855
0463-902-0932,189.0,1,Camisa branca manga curta GG,,0,0,0.0,62052000,795711859862
0463-902-0939,92.15,1,Camisete feminina manga 3/4 com zíper G,,0,0,0.0,62063000,795711859961
0463-902-0940,92.15,1,Camisete feminina manga 3/4 com zíper GG,,0,0,0.0,62063000,795711859985
0463-902-0958,211.24,1,Bota feminina cor marfim Nr.40,,0,0,0.0,64039190,795711862657
0463-902-0959,115.5,1,"Camisa Pólo Branca com Bolso, P",,0,0,0.0,61051000,795711863500
0463-902-0960,115.5,1,"Camisa Pólo Branca com Bolso, M",,0,0,0.0,61051000,795711863517
0463-902-0961,115.5,1,"Camisa Pólo Branca com Bolso, G",,0,0,0.0,61051000,795711863524
0463-902-0962,115.5,1,"Camisa Pólo Branca com Bolso, GG",,0,0,0.0,61051000,795711863531
0463-902-0963,120.75,1,"Camisa Pólo Preta com Bolso, P",,0,0,0.0,62052000,795711863548
0463-902-0964,120.75,1,"Camisa Pólo Preta com Bolso, M",,0,0,0.0,62052000,795711863555
0463-902-0965,120.75,1,"Camisa Pólo Preta com Bolso, G",,0,0,0.0,62052000,795711863562
0463-902-0966,120.75,1,"Camisa Pólo Preta com Bolso, GG",,0,0,0.0,62052000,795711863579
0463-902-0999,201.6,1,Bolsa de viagem,Linha Promocional,0,0,0.0,42022210,886661203093
0463-902-1000,30.45,1,Porta Long Neck em Neoprene,,0,0,0.0,59069100,795711841515
0463-902-1037,323.87,1,Bota nobuck grafite Nr.38,,0,0,0.0,64059000,886661037186
0463-902-1038,323.87,1,Bota nobuck grafite Nr.39,,0,0,0.0,64059000,886661037209
0463-902-1042,323.87,1,Bota nobuck grafite Nr.43,,0,0,0.0,64059000,886661037247
0463-902-1043,323.87,1,Bota nobuck grafite Nr.44,,0,0,0.0,64059000,886661037254
0463-902-1046,337.97,1,Bota marrom Nr.37,,0,0,0.0,64059000,886661037292
0463-902-1048,337.97,1,Bota marrom Nr.39,,0,0,0.0,64059000,886661037315
0463-902-1053,337.97,1,Bota marrom Nr.44,,0,0,0.0,64059000,886661037360
0463-902-1066,64.07,1,Camiseta dry fit laranja XGG,Linha Promocional,0,0,0.0,61052000,886661203147
0463-902-1072,227.85,1,BOTA COR GRAFITE NR.37,Linha Promocional,0,0,0.0,64039190,886661204991
0463-902-1073,227.85,1,BOTA COR GRAFITE NR.38,Linha Promocional,0,0,0.0,64039190,886661205004
0463-902-1074,227.85,1,BOTA COR GRAFITE NR.39,Linha promocional,0,0,0.0,64039190,886661205011
0463-902-1075,227.85,1,BOTA COR GRAFITE NR.40,Linha Promocional,0,0,0.0,64039190,886661205028
0463-902-1076,227.85,1,BOTA COR GRAFITE NR.41,Linha Promocional,0,0,0.0,64039190,886661205035
0463-902-1077,227.85,1,BOTA COR GRAFITE NR.42,Linha Promocional,0,0,0.0,64039190,886661205042
0463-902-1078,227.85,1,BOTA COR GRAFITE NR.43,Linha Promocional,0,0,0.0,64039190,886661205059
0463-902-1079,227.85,1,BOTA COR GRAFITE NR.44,Linha Promocional,0,0,0.0,64039190,886661205066
