codigo_antigo,codigo_novo,descricao,data_alteracao,unnamed_7
1119-120-0651,1119-120-0606,Carburador C3-S149,2008-09-17,
1119-120-7100,1119-120-7102,Eixo de estrangulamento com alavanca,1999-02-10,
1119-121-5000,1119-121-5001,Alavanca de regulagem de admissão,1998-04-22,
1119-121-5400,1119-121-5401,Injetor da válvula,2010-07-21,
1119-121-6600,1119-121-2800,Tala,2015-06-09,
1119-121-7400,1125-120-7400,Placa modulada,1998-02-16,
1119-121-7800,1110-121-7810,Tela,2011-04-26,
1119-123-7501,1119-123-7502,Luva,2008-09-05,
1119-140-0600,1119-140-0603,Silenciador,1997-01-07,
1119-140-0610,1119-007-1030,Jogo silenciador,1988-12-14,
1119-140-1905,1119-140-1904,Tampa do filtro,1997-10-09,
1119-140-1900,1119-140-1904,Tampa do filtro,1997-10-09,
1119-145-0701,1119-145-0703,Escapamento de entrada,1999-02-10,
1119-145-0800,1119-145-0802,Escapamento de saída,2015-06-08,
1119-145-0802,1119-145-0801,Escapamento de saída,NaT,
1119-160-2300,1119-162-3200,Arrastador,1997-09-26,
1119-160-2901,1119-007-1003,"Jogo de rolete anular 3/8"" 7d",1999-02-10,
1119-162-3202,1119-160-2002,Embreagem,2013-02-21,
1119-350-0802,1119-007-1017,Jogo carcaça do tanque,1999-02-10,
1119-350-0820,1119-350-0823,Carcaça do tanque,2014-07-31,
1119-358-7700,1119-358-7701,Mangueira de borracha,2010-07-21,
1119-400-1202,1119-400-1206,Volante,2010-05-17,
1119-400-1304,0000-400-1305,Módulo de ignição,2010-07-30,
1119-400-1308,0000-400-1300,Módulo de ignição,1998-03-17,
1119-790-9911,1121-790-9912,Amortecedor,1997-09-26,
1119-890-1400,1119-890-1405,Jogo de ferramentas,2007-11-12,
1119-890-1405,1121-890-1400,Jogo de ferramentas,1996-11-14,
1119-890-3400,1119-890-3405,Chave combinada,2010-07-16,
1119-890-3405,1129-890-3401,Chave combinada,1997-08-15,
1119-893-2401,1127-893-2400,Luva para retentor,1992-05-15,
1119-967-1506,1119-967-1512,Plaqueta de identificação,1997-09-26,
1120-031-0500,1120-031-0501,Virabrequim,2016-12-21,
1120-121-4802,4119-121-4800,Membrana da bomba,1996-10-21,
1120-400-1300,1120-400-1305,Módulo de ignição,2010-07-30,
1120-400-1305,0000-400-1306,Módulo de ignição,1997-10-15,
1121-034-3001,1123-034-3003,"Anel de compressão ferro fundido Ø42x1,2",1999-02-18,
1121-084-6900,1121-084-6901,Peça isolante,2010-09-18,
1121-182-0900,1125-182-0900,Interruptor combinado,1998-08-14,
1121-442-1600,1125-442-1600,Mola de contato,1996-04-02,
1121-647-9401,1122-647-9400,Mangueira,1995-08-08,
1121-790-9907,1121-790-9909,Amortecedor,1997-08-21,
1121-790-9911,1121-790-9912,Amortecedor,1997-09-26,
1122-007-1053,1122-007-1054,Jogo de juntas de vedação,2007-10-01,
1122-020-1210,1122-020-1209,Cilindro com pistão Ø 54 mm,1994-07-07,
1122-020-1209,1122-020-1212,Cilindro com pistão Ø 54 mm,2013-10-08,
1122-020-2103,1122-020-2113,Carcaça do virabrequim,1999-08-02,
1122-021-1101,1122-021-1105,Tampa,1998-07-22,
1122-080-1808,1122-080-1816,Carcaça do ventilador,1996-09-30,
1122-080-1815,1122-080-2110,Carcaça do ventilador c/disp/ arranque,1997-06-10,
1122-080-1816,1122-080-1806,Carcaça do ventilador (MS066),2004-12-03,
1122-080-2101,1122-080-2102,Carcaça do ventilador c/disp/ arranque,2004-12-03,
1122-080-2110,1122-080-2101,Carcaça ventilador c/sist/arranque (066),2004-12-03,
1122-080-6501,1122-084-6502,Eixo,1997-08-18,
1122-120-3410,1122-120-3411,Base do filtro de plástico,1995-08-30,
1122-123-7500,1122-123-7503,Luva,1997-09-08,
1122-356-7705,0000-930-2803,"Mangueira 3,1x5,7 mm x 1 m R3",2015-08-21,
1122-358-7705,0000-937-4010,Mangueira 51 mm,2005-08-06,
1122-400-1311,0000-400-1305,Módulo de ignição,2010-07-30,
1122-440-1101,1122-440-1103,Cabo curto-circuito 340 mm,2003-10-17,
1122-640-1702,1122-640-1707,Tampa do pinhão da corrente,2007-03-07,
1122-648-0401,1122-648-0403,Tampa do pinhão da corrente,2007-03-07,
1122-790-1702,1122-790-1750,Tubo do punho,1999-11-25,
1122-792-9100,1122-790-9103,Proteção da mão,1999-05-20,
1122-792-9101,1122-790-9101,Proteção da mão,1999-05-20,
1122-890-1400,1121-890-1400,Jogo de ferramentas,1996-11-14,
1122-967-1501,1122-967-1505,Plaqueta de identificação 066,1999-07-05,
1123-007-1007,1123-120-1623,Filtro de ar,2014-02-18,
1123-020-3005,1123-020-3003,Carcaça do motor,2013-01-19,
1123-020-1202,1123-020-1206,"Cilindro com pistão Ø 42,5 mm",1999-04-28,
1123-030-0400,1123-030-0410,Virabrequim,2017-03-07,
1123-080-1801,1123-080-1802,Carcaça do ventilador,2014-01-04,
1123-080-2100,1123-080-2104,Carcaça do ventilador c/disp/ arranque,2013-02-06,
1123-120-1623,1123-120-1650,Filtro de ar,1999-03-05,
1123-121-4800,1129-121-4800,Membrana da bomba,1998-04-22,
4129-121-4800,,,NaT,
1123-124-3500,1123-007-1007,Kit filtro de ar,2015-10-16,
1123-140-0601,1123-140-0604,Silenciador,2008-05-20,
1123-140-0604,1123-140-0608,Silenciador,2016-01-27,
1123-140-1902,1123-140-1904,Tampa do filtro,2009-11-12,
1123-160-2000,1123-160-2001,Embreagem,2010-07-30,
1123-160-2001,1123-160-2050,Embreagem,1999-11-16,
1123-182-1500,1123-182-1505,Tirante do acelerador,1997-04-17,
1123-195-8200,1129-195-8200,Cordão de arranque Ø 3x800 mm,2000-02-04,
1123-358-7602,0000-930-2803,"Mangueira 3,1x5,7 mm x 1 m R3",2015-08-21,
1123-358-7700,1123-350-3650,Jogo mangueira com cabeçote de aspiração,2012-04-21,
1123-358-7701,1123-358-7702,Mangueira de borracha,2012-09-01,
1123-400-1305,0000-400-1306,Módulo de ignição,1997-10-15,
1123-640-2005,1123-640-2003,"Pinhão da corrente 3/8"" Picco 6d",2005-10-18,
1123-640-7105,1123-640-7102,Sem-fim,2005-10-12,
1123-648-0400,1123-640-1705,Tampa do pinhão da corrente,2010-08-13,
1123-890-3410,1129-890-3401,Chave combinada,1997-08-15,
1124-007-1003,1124-084-8700,Parafuso com colar,1987-02-16,
,1124-084-8900,Anel,1997-08-15,
1124-020-9400,1111-022-9400,Parafuso de fechamento,1994-04-27,
,1111-025-2200,Bujão,1983-09-27,
1124-195-3500,1117-195-3500,Grampo elástico,1984-11-20,
1125-007-1018,1125-007-1021,Jogo roda dentada/parafuso tensor,1999-02-19,
1125-020-1215,1125-020-1206,Cilindro com pistão Ø 48 mm,1999-02-19,
1125-020-2103,1125-020-2120,"Carc/ virabrequim de magnésio,aço,papel",1998-11-05,
1125-020-2107,1125-020-2103,Carcaça do virabrequim,2010-07-30,
1125-021-7500,9416-868-6531,"Rebite tubular  6,5x0,5x6,8",1997-01-31,
1125-030-0401,1125-030-0407,Virabrequim,2009-05-18,
1125-080-1602,1125-080-1606,Cj/ cobertura,2000-02-04,
1125-080-1606,1125-080-1603,Cobertura,2016-03-27,
1125-080-1618,1125-080-1620,Cobertura,NaT,
