unnamed_2,unnamed_4,codigo_material,preco_real,qtde_min,descricao,unnamed_9,utilizacao,unnamed_11,unnamed_12,s,t,ipi,ncm_classif_fiscal,codigo_barras,unnamed_18,unnamed_19
,,5605-750-4304,309.0,1.0,"Suporte de limas 2-in-1 .325""","Suporte de limas 2-in-1 .325""",MS260,,,1.0,10.0,52.0,82031010.0,795711424244.0,,
,,5605-750-4305,309.0,1.0,"Suporte de limas 2-in-1 3/8""","Suporte de limas 2-in-1 3/8""",MS260/310/361/381/460/650/660,,,1.0,10.0,52.0,82031010.0,795711424251.0,,
,,5605-750-4306,309.0,1.0,"Suporte de limas 2-in-1 1/4""P",,MSA160/200,,,1.0,10.0,52.0,82031010.0,886661193011.0,,
,,5614-000-7500,119.0,1.0,"Condução da lima FF 1 3/8""",,MS260/310/361/381/460/650/660,,,1.0,10.0,5.0,73269090.0,795711692650.0,,
,,5614-000-7501,119.0,1.0,"Condução da lima FF 1 .325""","Condução da lima FF 1 .325""",MS260,,,1.0,10.0,5.0,73269090.0,795711692667.0,,
,,5614-000-7502,119.0,1.0,"Condução da lima FF 1 3/8"" P","Condução da lima FF 1 3/8"" P",MSE170/MS210/230/250,,,1.0,10.0,5.0,73269090.0,795711692674.0,,
,,5614-000-7503,119.0,1.0,"Condução da lima FF 1 3/8"" P M.","Condução da lima FF 1 3/8"" P M.",MS170/180/210/230/250/HT75/131,,,1.0,10.0,5.0,73269090.0,795711692681.0,,
,,5614-000-7504,119.0,1.0,"Condução da lima FF 1 1/4"" P","Condução da lima FF 1 1/4"" P",MSA160C/200C,,,1.0,10.0,5.0,73269090.0,795711956875.0,,
,,5614-000-7505,119.0,1.0,"Condução da lima FF 1 .404""","Condução da lima FF 1 .404""",MS051/08,,,1.0,10.0,5.0,73269090.0,795711956882.0,,
,,0000-881-0402,14899.0,1.0,Cavalete de limar S 260 g,,Todas MS,,,1.0,10.0,52.0,82057000.0,795711930905.0,,
,,1119-007-4100,8083.0,1.0,Jogo de manutenção 1,,MS381/MS382,,,1.0,10.0,52.0,84213100.0,886661593972.0,,
,,1123-007-4100,5714.0,1.0,Jogo de manutenção 2,,MS210/MS230/MS250,,,1.0,10.0,52.0,84213100.0,886661604852.0,,
,,1130-007-4101,4642.0,1.0,Jogo de manutenção 7,,MS170/MS180,,,1.0,10.0,52.0,84213100.0,886661604968.0,,
,,4119-007-4100,7007.0,1.0,Jogo de manutenção 20,,FS160/FS220/FS290/FR220,,,1.0,10.0,52.0,84213100.0,886661595426.0,,
,,4137-007-4101,4869.0,1.0,Jogo de manutenção 23,,FS80/FS85/HT75/KA85/KM85/PC70/PC75,,,1.0,10.0,52.0,84213100.0,886661595457.0,,
,1.0,0000-890-5004,129.0,1.0,Bico para Enchimento de Óleo,,,Não acompanham o galão,,1.0,10.0,975.0,39269090.0,795711255220.0,,
,2.0,0000-890-5005,129.0,1.0,Bico para Enchimento de Combustível,,,,,1.0,10.0,975.0,39269090.0,795711255237.0,,
,,0000-881-9801,119.0,1.0,Afiador 3 em 1,,"Tesouras, tesouras de poda, facas e machados",,,1.0,10.0,0.0,68043000.0,886661476138.0,,
,,0456-940-1522,222.0,10.0,Certificado de garantia BR,,CETs em branco,,,5.0,0.0,0.0,49111010.0,886661215423.0,,
,,0464-902-1510,1155.0,1.0,Guarda-pó assistência técnica 46,,,,,0.0,0.0,0.0,62019000.0,795711466329.0,,
,,0464-902-1511,1155.0,1.0,Guarda-pó assistência técnica 48,,,,,0.0,0.0,0.0,62019000.0,795711466336.0,,
,,0464-004-0150,1155.0,1.0,Guarda-pó assistência técnica 50,,,,,0.0,0.0,0.0,62019000.0,795711476403.0,,
,,0464-004-0152,1155.0,1.0,Guarda-pó assistência técnica 52,,,,,0.0,0.0,0.0,62019000.0,795711476410.0,,
,,0464-902-1512,1155.0,1.0,Guarda-pó assistência técnica 54,,,,,0.0,0.0,0.0,62019000.0,886661017775.0,,
,,0464-902-1514,1155.0,1.0,Guarda-pó assistência técnica 56,,,,,0.0,0.0,0.0,62019000.0,795711466343.0,,
,,0464-902-1515,1155.0,1.0,Guarda-pó assistência técnica 58,,,,,0.0,0.0,0.0,62019000.0,795711466350.0,,
,,0457-881-1200,82.0,5.0,Etiqueta azul envio peças garantia BR,,Todos - Reposição,,,0.0,0.0,0.0,48211000.0,795711676360.0,,
,,7026-871-1001,34.0,50.0,Saco plástico peças garantia 200x260,,,,,0.0,0.0,0.0,39232190.0,795711301286.0,,
,,7026-871-1000,113.0,10.0,Saco plástico peças garantia 400x500,,,,,0.0,0.0,0.0,39232190.0,795711301279.0,,
,,0000-882-9700,729.0,1.0,Caixa de bateria P Cinza,,Toda linha de baterias,,,1.0,0.0,975.0,39231090.0,886661958290.0,,
,,0000-882-9701,829.0,1.0,Caixa de bateria M Cinza,,Toda linha de baterias,,,1.0,0.0,975.0,39231090.0,886661958306.0,,
,,0000-882-9702,949.0,1.0,Caixa de bateria G Cinza,,Toda linha de baterias,,,1.0,0.0,975.0,39231090.0,886661958313.0,,
,,0000-792-9160,2892.0,1.0,Proteção da corrente Tophandle 35 cm,,MS 194 T / MSA 161 T,,,1.0,10.0,975.0,39269090.0,795711809546.0,,
,,0000-900-4008,409.0,1.0,Maleta para motosserra,,MS180/194T/210/230/250/260/361/382/462/MSA60.0C/70.0C/120C-B/140C-B/161C-B/160.0C-B/160C-B/200.0/220.0,,,1.0,10.0,65.0,42029900.0,795711159900.0,,
