codigo_material,preco_real,qtde_min,descricao,modelos,origem,t,ipi,ncm_classif_fiscal,codigo_barras
1252-435-6300,14.49,3,Trava da alavanca de comando,MSA160T,1,10,5.2,84679100,886661008315
1252-440-1500,21.46,1,Carcaça do plugue,MSA160T HTA85,1,10,9.75,39269090,886661117314
1252-600-0200,787.89,1,Motor elétrico,MSA160T MSAHTA 85,1,0,0.0,85013210,886661016747
1252-600-0203,739.57,1,Motor elétrico,MSA161,1,0,0.0,85013210,886661870233
1252-600-0801,250.49,1,Carcaça do motor,MSA160T,1,10,5.2,84679100,886661117321
1252-600-0804,252.08,1,Carcaça do motor,MSA160T,1,10,5.2,84679100,886661117352
1252-600-0812,254.07,1,Carcaça do motor,MSA161,1,10,5.2,84679100,886661339402
1252-640-1700,52.17,1,Tampa do pinhão da corrente,MSA160 T,1,10,5.2,84679100,886661019793
1252-640-1702,57.75,1,Tampa do pinhão da corrente,MSA161,1,10,5.2,84679100,886661583027
1252-640-7100,79.33,1,Sem-fim,MSA161,1,10,0.0,84839000,886661951697
1252-642-1201,46.29,1,"Pinhão da corrente 1/4""P 7D",MSA160T MSA120,1,10,0.0,84839000,886661035519
1252-642-1202,44.68,1,"Pinhão da corrente 1/4""P 10d",MSA161,1,10,0.0,84839000,886661660285
1252-790-0600,39.37,1,Cobertura do punho,MSA160T,1,10,5.2,84679100,886661117390
1252-790-9100,40.31,1,Proteção da mão,MSA160T,1,10,5.2,84679100,886661057498
1252-791-1700,55.68,1,Tubo do punho,MSA160T,1,10,5.2,84679100,795711998455
1252-791-3100,5.96,2,Mola,MSA160T,1,10,9.75,73209000,886661057481
1252-791-5400,11.33,3,Suporte,MSA160T,1,10,5.2,84679100,886661055500
1252-967-1804,10.08,3,Placa de características MSA 160T,MSA160T,1,10,9.75,39191090,886661066155
1254-080-1600,35.61,1,Cobertura,MSA120 MSA140,1,10,5.2,84679100,886661390199
1254-160-5000,36.6,1,Alavanca,MSA120 MSA140,1,10,5.2,84679100,886661390205
1254-162-7900,5.21,3,Mola de tração,MSA120 MSA140,1,10,9.75,73202010,886661116690
1254-182-4500,5.21,3,Mola com haste,MSA120 MSA140,1,10,9.75,73202010,886661260836
1254-350-4400,45.08,1,Tanque de óleo,MSA120 MSA140,1,10,5.2,84679100,886661390182
1254-430-1400,569.53,1,Módulo electrônico,MSA120,1,0,9.75,90328990,886661116775
1254-430-1440,627.64,1,Módulo electrônico,MSA120 MSA140,1,0,9.75,90328990,886661567966
1254-430-1441,627.67,1,Módulo electrônico,MSA120 MSA140,1,0,9.75,90328990,886661877201
1254-430-1470,569.53,1,Módulo electrônico,MSA120,1,0,9.75,90328990,886661625901
1254-435-2400,13.37,1,Alavanca do interruptor,MSA120 MSA140,1,10,5.2,84679100,886661131709
1254-600-0200,419.35,1,Motor elétrico,MSA120,1,0,0.0,85013210,886661116737
1254-600-0241,443.39,1,Motor elétrico  V/ Hz,MSA120 MSA140,1,0,0.0,85013210,886661877195
1254-600-0270,419.35,1,Motor elétrico,MSA120,1,0,0.0,85013210,886661772902
1254-602-0300,19.42,1,Carcaça em espiral,MSA120 MSA140,1,10,5.2,84679100,886661154821
1254-640-1701,58.23,1,Tampa do pinhão da corrente,MSA120 MSA140,1,10,5.2,84679100,886661390212
1254-642-1200,18.01,1,"Pinhão da corrente 1/4"" P 6d",MSA120,1,10,0.0,84839000,886661623396
1254-647-2000,23.29,1,Sem-fim,MSA120 MSA140,1,10,0.0,84839000,886661154623
1254-790-0640,23.74,1,Cobertura do punho,MSA120 MSA140,1,10,5.2,84679100,886661573844
1254-790-1010,147.28,1,Carcaça do punho.,MSA120,1,10,5.2,84679100,886661867455
1254-790-1013,147.28,1,Carcaça do punho,MSA140,1,10,5.2,84679100,886661867493
1254-790-9100,40.31,1,Proteção da mão,MSA120 MSA140,1,10,5.2,84679100,886661154593
