unnamed_1,unnamed_2,unnamed_3,codigo_material,preco_real,descricao,qtde_min,bateria_recomendada,kit,tensao_carregador,tensao_nominal_bateria_v,sabres_cm,corrente,velocidade_da_corrente_m_s,peso_kg,s,t,ipi,ncm_classif_fiscal,cod_barras
,,,4864-011-6620,4499.0,TSA 230.1 Cortador a disco a bateria,1.0,AP 300S,Não acompanha bateria ou carregador,EC,2.1,1.6,3.9,20,39.0,1.0,10.0,52.0,84672999.0,886661733552.0
,,,LA02-011-6403,2199.0,"HTA 50.0 1/4""P Moto-poda a bateria",1.0,AK 20,Não acompanha bateria ou carregador,-,36,280,25,"PM3 -1/4""",36.0,1.0,10.0,52.0,84672200.0,886661624430.0
,,,LA02-820-5000,27396.0,"Extensão 0,5 m",1.0,HTA50,,,,,,,,1.0,10.0,52.0,84679100.0,886661879632.0
,,,LA03-200-0010,3699.0,"HTA 86 Moto-poda a bateria,30cm/12""",1.0,AP 300S,Não acompanha bateria ou carregador,-,36,270 - 390,30,"1,1 PM3 - 1/4""",45.0,1.0,10.0,52.0,84672200.0,886661618941.0
,,,LA01-200-0004,4589.0,"HTA 135 Moto-poda a bateria,30cm/12""",1.0,AP 300S,Não acompanha bateria ou carregador,-,36,285 - 405,30,"1,1 PMM3 - 3/8""",68.0,1.0,10.0,52.0,84672200.0,886661563975.0
,,,4855-011-0700,3879.0,SPA 65 Colhedor especial a bateria,1.0,AP 300S,Não acompanha bateria ou carregador,-,36,2256,Implemento SP10,,75.0,1.0,10.0,52.0,84672999.0,795711912307.0
,,,RA01-011-7605,1899.0,REA 60.0 PLUS Lavadora de alta pressão a bateria,1.0,270,Não acompanha bateria ou carregador,130,100,AK 30 / 30S,EC,25,,1.0,10.0,0.0,84243010.0,795711369415.0
,,,RA01-011-7615,2399.0,REA 100.0 PLUS Lavadora de alta pressão,1.0,300,Não acompanha bateria ou carregador,150,125,AP 300 S,EC,45,,1.0,10.0,0.0,84243010.0,795711369477.0
,,,RA02-011-7605,1249.0,RCA 20.0 Lavadora de pressão a bateria,1.0,230 (sem bico de pressão),-,22,24,AS 2,DC,-,,1.0,10.0,0.0,84243010.0,886661045754.0
,,,RA02-011-7617,1699.0,RCA 20.0 SET Lavadora de pressão a bateria,1.0,,110 V,,,,,15-30,,1.0,10.0,0.0,84243010.0,886661045877.0
,,,RA02-011-7618,1699.0,RCA 20.0 SET Lavadora de pressão a bateria,1.0,,220 V ,,,,,,,1.0,10.0,0.0,84243010.0,886661045884.0
,,,RA02-500-5900,31904.0,Escova rotativa,1.0,RCA 2.0,,,,,,,,1.0,10.0,325.0,84249090.0,886661427147.0
,,,VA05-011-6200,1619.0,ASA 20.0 Tesoura de poda a bateria,1.0,AS,Não acompanha bateria ou carregador,"0,76 / 0,98",25,DC,10.8,240,,1.0,0.0,52.0,84672910.0,886661292127.0
,,,GA08-011-8000,329.0,PS 1.0 abastecimento de energia portátil,1.0,10.8,Não acompanha bateria ou carregador,2.5,,"0,15/0,35",Corrênte máxima [A] 3 Potência máxima [W] 30,Corrênte máxima [A] 3 Potência máxima [W] 22,AS,1.0,10.0,5.0,85044010.0,886661806836.0
,,,4850-602-0900,262.0,Tampa do compartimento da bateria AP,1.0,Todas as máquinas da linha a bateria Lithium Ion PRO,,,,,,,,1.0,0.0,5.0,39235000.0,795711843373.0
,,,4520-602-0900,3044.0,Tampa do compartimento da bateria AK,1.0,Todas as máquinas da linha a bateria Lithium Ion COMPACT,,,,,,,,1.0,0.0,5.0,39235000.0,886661552771.0
,,,EA02-400-6500,189.0,AS 2 Bateria,1.0,-,,,,,,,3.0,1.0,0.0,1125.0,85076000.0,886661915415.0
,,,EA03-430-2509,189.0,"AL 1, 100 - 127 V Carregador",1.0,110 V,,,,,,,7.0,1.0,10.0,5.0,85044010.0,886661933914.0
