unnamed_2,codigo_material,preco_real,qtde_min,descricao,vazao_maxima_l_h,pressao_maxima_bar,pressao_de_trabalho_bar,potencia_kw,tipo_de_motor,peso_kg,comprimento_da_mangueira_m,cabecote_da_bomba,s,t,ipi,ncm_classif_fiscal,cod_barras
,4255-502-1702,2051.0,1.0,Bico chato 80-02 - Para a aplicação em  plantações em grande escala,,,,0.65,2,Polímero,SG71,,1.0,10.0,325.0,84249090.0,886661174737.0
,4255-502-1700,5471.0,1.0,"Bico chato 80-04 - Bico de jato plano com grande calibre, para aplicações planas. Especialmente adequado para aplicar herbicidas com gotas grandes.",,,,1.31,2,Metálico,SG71/71,,1.0,10.0,325.0,84249090.0,886661133604.0
,4255-502-1701,8907.0,1.0,Bico chato 65-0025 - Bico de jato plano com calibre pequeno e fluxo reduzido para uma pulverização muito fina e direcionada.,,,,0.08,2,Metálico,SG71,,1.0,10.0,325.0,84249090.0,886661133628.0
,4247-502-1001,1594.0,1.0,Bico chato 400 cc/min 80-01 - Para a aplicação em  plantações em grande escala 400 cc/min,,,,0.32,2,Polímero,SG20,,3.0,10.0,325.0,84249090.0,795711352790.0
,4255-500-8500,12996.0,1.0,"Bico do garfo - Ideal para pulverizar superfícies
maiores ou dois arbustos em simultâneo. Direção dos bicos ajustável individualmente. 
*A vazão depende do bico a ser montado nesse suporte.",,,,*a vazão depende do bico a ser montado,2,Polimero,SG71,,1.0,10.0,325.0,84249090.0,886661133451.0
,4247-500-8500,774.0,1.0,"Bico do garfo - Ideal para pulverizar superfícies
maiores ou dois arbustos em simultâneo. Direção dos bicos ajustável individualmente. 
*A vazão depende do bico a ser montado nesse suporte.",,,,*a vazão depende do bico a ser montado,2,Polimero,SG20,,3.0,10.0,325.0,84249090.0,795711532352.0
,4255-710-9006,13588.0,1.0,Cinturão,,,,,,,SG71,,1.0,0.0,0.0,63079090.0,886661161492.0
,4255-500-0301,405.0,1.0,Extensão da lança,,,,,,,SG71,,1.0,10.0,325.0,84249090.0,886661133543.0
,4255-007-1000,10625.0,1.0,"Jogo de bicos:
4255-502-1702-A Bico Chato 80-02
4255-502-1000-A Bico Chato 80-15
4255-502-6201-A Bico Cônico Oco HC015
4255-502-6202-A Bico Cônico Oco HC02",,,"4255-502-1702
4255-502-1000
4255-502-6201
4255-502-6202","0,65
0,49
0,49
0,65",2,Polimero,"SG11/SG71
SG20",,1.0,10.0,325.0,84249090.0,886661133437.0
,4247-007-1005,10069.0,1.0,"Jogo de bicos:
4247-502-1006-A Bico Chato 600 cc/min 80-015
4247-502-1001-A Bico Chato 400 cc/min 80-01
4247-502-1007-A Bico Cônico Oco 200 cc/min TVXK3
4247-502-1008-A Bico Cônico Oco 600 cc/min HC015",,,"4247-502-1006
4247-502-1001
4247-502-1007
4247-502-1008","0,32
0,49
0,49
0,17",2,Polimero,"SG11/SG71
SG20",,3.0,10.0,325.0,84249090.0,795711690533.0
