unnamed_2,unnamed_4,codigo_material,preco_real,qtde_min,descricao,cilindrada_cm3,pot,unnamed_11,peso,conjunto_de_corte,s,t,ipi,ncm_classif_fiscal,cod_barras
,8.0,4260-740-5100,1439.0,1.0,SP 20 Derriçador,,,,16.0,"KA85R,KA120",0.0,10.0,52.0,84679900.0,886661263233.0
,,4260-740-7200,13118.0,1.0,Garra WR 6,,,,145.0,SP 20,0.0,10.0,0.0,84679900.0,886661381708.0
,,4260-740-7201,13017.0,1.0,Garra WR 6-2,,,,13.0,SP 20,5.0,10.0,52.0,84679900.0,886661381722.0
,,4260-740-7202,16271.0,1.0,Garra WR 9,,,,19.0,SP 20,0.0,10.0,0.0,84679900.0,886661381739.0
,,4260-710-7100,3722.0,1.0,"Tubo do eixo Ø 25,4 x 1498 mm",,,,,"KA 85, KA 120",5.0,10.0,0.0,84831090.0,886661537310.0
,,4260-710-7101,68284.0,1.0,"Tubo do eixo Ø 25,4 x 1748 mm",,,,,"KA 85, KA 120",5.0,10.0,0.0,84831090.0,886661537327.0
,,4260-710-7102,21764.0,1.0,"Tubo do eixo Ø 25,4 x 1498 mm",,,,,"KA 85, KA 120",0.0,10.0,0.0,84679900.0,886661542154.0
,,4260-710-7103,23837.0,1.0,"Tubo do eixo Ø 25,4 x 1748 mm",,,,,"KA 85, KA 120",0.0,10.0,0.0,84679900.0,886661542161.0
,,4137-711-3202,9882.0,1.0,Eixo de acionamento 1538 mm,,,,27.0,"FS 80,KA 85, KA120",5.0,10.0,0.0,84834090.0,795711574697.0
,,4260-711-3200,10823.0,1.0,Eixo de acionamento 1785 mm,,,,,"KA 85, KA 120",0.0,10.0,0.0,84831090.0,886661590773.0
,2.0,4601-740-5000,1719.0,1.0,BF-KM Cultivador do solo,,,,4142.0,KM55/85 / KMA135R,1.0,10.0,52.0,82079000.0,795711319076.0
,3.0,4243-740-5003,1729.0,1.0,HL-KM 145° Podador especial,,,,2742.0,KM55/85 / KMA135R,6.0,10.0,52.0,84679900.0,886661157259.0
,4.0,4606-740-5000,739.0,1.0,BG-KM Soprador axial,,,,1736.0,KM55/85 / KMA135R,1.0,10.0,52.0,82079000.0,795711349851.0
,5.0,4182-200-0212,1269.0,1.0,"Implem. KM - HT Motopoda,30cm/12"",71PM3",,,,2384.0,HT-KM55/85R / KMA135R,1.0,10.0,52.0,84679100.0,886661545568.0
,6.0,4182-200-0208,1249.0,1.0,"Implem. KM - HT Motopoda,30cm/12"",61PMM3",,,,2384.0,HT-KM55/85R /  KMA135R,0.0,10.0,52.0,82079000.0,886661538195.0
,7.0,4180-740-5002,759.0,1.0,FCB-KM Aparador de cantos,,,,286.0,FCB-KM55/85 / KMA135R,1.0,10.0,52.0,82079000.0,886661111749.0
,,4180-710-7141,489.0,1.0,FS-KM Roçadeira,"Não acompanha Jogo de proteção, Kit de peças para fixação da lâmina e arruela 4137-710-3800",,,1045.0,FS-KM55/85 / KMA135R,6.0,10.0,52.0,84679900.0,886661180844.0
,,4140-710-7131,43404.0,1.0,Tubo do eixo 1 m,Prolongador da haste,,,,HT-KM85R / KMA135R,1.0,10.0,0.0,84831090.0,795711169565.0
,,4260-740-7200,13118.0,1.0," - Garra com seis dedos alinhados
 - É o modelo universal. Indicada para plantas com ramos de tamanho e espaçamento normais.",,,,145.0,,0.0,10.0,0.0,84679900.0,886661381708.0
,,,879.0,2.0,,,,,,,,,,,
,,4260-740-7201,13017.0,1.0," - Garra com seis dedos desalinhados
 - Ideal para as situações onde as plantas são  densas,  próximas e  com galhos entrelaçados que dificultam o acesso aos frutos.",,,,13.0,,5.0,10.0,52.0,84679900.0,886661381722.0
,,,879.0,2.0,,,,,,,,,,,
,,4260-740-7202,16271.0,1.0," - Garra com nove dedos 
 - Altíssima produtividade para ramos longos, adensados e com muitos frutos por planta.",,,,19.0,,0.0,10.0,0.0,84679900.0,886661381739.0
,,,899.0,2.0,,,,,,,,,,,
